ID	CodeID	No	Name	TeamID	Team	Pos
19473	clark-luke	14	Clark, Luke	accrington-stanley	Accrington Stanley	D
19262	connolly-david	9	Connolly, David	portsmouth	Portsmouth	F
19104	cummins-graham	29	Cummins, Graham	rochdale	Rochdale	F
19263	constable-james	9	Constable, James	oxford-united	Oxford United	F
19419	drennan-michael	28	Drennan, Michael	portsmouth	Portsmouth	M
19470	dawber-andrew	22	Dawber, Andrew	accrington-stanley	Accrington Stanley	G
19727	deering-sam	8	Deering, Sam	cheltenham-town	Cheltenham Town	M
19038	doyle-eoin	17	Doyle, Eoin	chesterfield	Chesterfield	F
19394	dudley-anthony	32	Dudley, Anthony	bury	Bury	F
19232	dickinson-chris	25	Dickinson, Chris	york-city	York City	F
19735	dale-bobbie	24	Dale, Bobbie	cheltenham-town	Cheltenham Town	F
19736	daniels-billy	29	Daniels, Billy	cheltenham-town	Cheltenham Town	F
19105	donnelly-george	9	Donnelly, George	rochdale	Rochdale	F
19511	davies-arron	11	Davies, Arron	exeter-city	Exeter City	M
19512	dawson-aaron	16	Dawson, Aaron	exeter-city	Exeter City	M
19513	doherty-tommy	14	Doherty, Tommy	exeter-city	Exeter City	M
19013	dunbavin-ian	1	Dunbavin, Ian	accrington-stanley	Accrington Stanley	G
19269	davis-cain		Davis, Cain	dagenham-redbridge	Dagenham & Redbridge	G
19023	darwikwa-tendayi	7	Darwikwa, Tendayi	chesterfield	Chesterfield	M
19024	devitt-jamie	12	Devitt, Jamie	morecambe	Morecambe	M
19542	drummond-stuart	16	Drummond, Stuart	morecambe	Morecambe	M
19281	d-ath-lawson	12	D'Ath, Lawson	dagenham-redbridge	Dagenham & Redbridge	M
19532	diagne-tony	6	Diagne, Tony	morecambe	Morecambe	D
19657	doherty-gary	30	Doherty, Gary	wycombe-wanderers	Wycombe Wanderers	D
19290	dickson-chris	14	Dickson, Chris	dagenham-redbridge	Dagenham & Redbridge	F
19533	doyle-chris	23	Doyle, Chris	morecambe	Morecambe	D
19291	doe-scott	4	Doe, Scott	dagenham-redbridge	Dagenham & Redbridge	F
19186	dyer-jack	22	Dyer, Jack	burton-albion	Burton Albion	D
19543	dunleavy-daniel	35	Dunleavy, Daniel	morecambe	Morecambe	M
19621	duke-matt	1	Duke, Matt	northampton-town	Northampton Town	G
19047	dawson-andy	3	Dawson, Andy	scunthorpe-united	Scunthorpe United	D
19300	dawson-cameron	32	Dawson, Cameron	plymouth-argyle	Plymouth Argyle	G
19247	davies-scott_2	18	Davies, Scott	oxford-united	Oxford United	M
19570	duckworth-michael	21	Duckworth, Michael	hartlepool-united	Hartlepool United	M
19357	dyer-ross	15	Dyer, Ross	mansfield-town	Mansfield Town	F
19069	djeziri-adda		Djeziri, Adda	scunthorpe-united	Scunthorpe United	F
19331	deakin-ian	22	Deakin, Ian	mansfield-town	Mansfield Town	G
19658	dunne-charles	3	Dunne, Charles	wycombe-wanderers	Wycombe Wanderers	D
19338	dempster-john	4	Dempster, John	mansfield-town	Mansfield Town	D
19615	dickenson-ben		Dickenson, Ben	afc-wimbledon	AFC Wimbledon	F
19094	done-matt	16	Done, Matt	rochdale	Rochdale	M
19350	daniel-colin	30	Daniel, Colin	mansfield-town	Mansfield Town	M
19125	davies-scott	1	Davies, Scott	fleetwood-town	Fleetwood Town	M
19627	diamond-alexander	5	Diamond, Alexander	burton-albion	Burton Albion	D
19628	dickenson-brennan	35	Dickenson, Brennan	northampton-town	Northampton Town	D
19638	deegan-gary	17	Deegan, Gary	northampton-town	Northampton Town	M
19639	dias-claudio	22	Dias, Claudio	northampton-town	Northampton Town	M
19139	dieseruvwe-emmanuel	29	Dieseruvwe, Emmanuel	fleetwood-town	Fleetwood Town	F
15781	davies-ben	3	Davies, Ben	york-city	York City	D
19409	devera-joe	5	Devera, Joe	portsmouth	Portsmouth	D
19629	doumbe-mathias	27	Doumbe, Mathias	northampton-town	Northampton Town	D
19195	delap-rory	4	Delap, Rory	burton-albion	Burton Albion	M
19077	edwards-matthew		Edwards, Matthew	rochdale	Rochdale	G
19169	edwards-jack	26	Edwards, Jack	southend-united	Southend United 	M
19176	eastwood-freddy	7	Eastwood, Freddy	southend-united	Southend United 	F
19177	egan-john	32	Egan, John	southend-united	Southend United 	F
19082	eastham-ashley	5	Eastham, Ashley	rochdale	Rochdale	D
19017	evatt-ian	23	Evatt, Ian	chesterfield	Chesterfield	D
19667	ehui-georges	35	Ehui, Georges	wycombe-wanderers	Wycombe Wanderers	M
19534	edwards-ryan	27	Edwards, Ryan	chesterfield	Chesterfield	D
19544	ellison-kevin	11	Ellison, Kevin	morecambe	Morecambe	M
19410	east-danny	4	East, Danny	portsmouth	Portsmouth	D
19411	ertl-johannes	13	Ertl, Johannes	portsmouth	Portsmouth	D
19057	esajas-etienne	10	Esajas, Etienne	scunthorpe-united	Scunthorpe United	M
19140	evans-gareth	7	Evans, Gareth	fleetwood-town	Fleetwood Town	F
19282	edgar-anthony	19	Edgar, Anthony	dagenham-redbridge	Dagenham & Redbridge	M
19283	elito-medy	7	Elito, Medy	dagenham-redbridge	Dagenham & Redbridge	M
19722	elliott-steve	6	Elliott, Steve	cheltenham-town	Cheltenham Town	D
19187	edwards-phil	2	Edwards, Phil	burton-albion	Burton Albion	D
19505	edwards-rob		Edwards, Rob	exeter-city	Exeter City	D
19395	forrester-anton	9	Forrester, Anton	bury	Bury	F
19367	futcher-ben		Futcher, Ben	bury	Bury	D
19421	fogden-wes	19	Fogden, Wes	portsmouth	Portsmouth	M
19233	fletcher-wes	9	Fletcher, Wes	york-city	York City	F
19332	fell-jordan		Fell, Jordan	mansfield-town	Mansfield Town	G
19273	fortune-jonathan		Fortune, Jonathan	dagenham-redbridge	Dagenham & Redbridge	D
19604	fuller-barry	2	Fuller, Barry	afc-wimbledon	AFC Wimbledon	M
19545	fleming-andrew	17	Fleming, Andrew	morecambe	Morecambe	M
19454	flynn-michael	17	Flynn, Michael	newport-county	Newport County	M
19571	franks-jonathan	7	Franks, Jonathan	hartlepool-united	Hartlepool United	M
19590	fenlon-jim	15	Fenlon, Jim	afc-wimbledon	AFC Wimbledon	D
19591	francomb-george	7	Francomb, George	afc-wimbledon	AFC Wimbledon	D
19602	fayers-charlie	31	Fayers, Charlie	afc-wimbledon	AFC Wimbledon	M
19603	frampton-andy	5	Frampton, Andy	afc-wimbledon	AFC Wimbledon	M
19141	fontaine-jean-michel		Fontaine, Jean-Michel	fleetwood-town	Fleetwood Town	F
19659	foster-danny		Foster, Danny	wycombe-wanderers	Wycombe Wanderers	D
19420	ferry-simon	16	Ferry, Simon	portsmouth	Portsmouth	M
19442	feely-kevin	23	Feely, Kevin	afc-wimbledon	AFC Wimbledon	D
19453	fielding-kristian		Fielding, Kristian	newport-county	Newport County	M
19558	flinders-scott	1	Flinders, Scott	hartlepool-united	Hartlepool United	G
19559	foden-mark	32	Foden, Mark	hartlepool-united	Hartlepool United	G
19058	gibbons-robbie		Gibbons, Robbie	scunthorpe-united	Scunthorpe United	M
19506	gill-matthew	8	Gill, Matthew	bristol-rovers	Bristol Rovers	D
19070	godden-matt	17	Godden, Matt	scunthorpe-united	Scunthorpe United	F
19514	gosling-jake	21	Gosling, Jake	exeter-city	Exeter City	M
19515	grimes-matt	29	Grimes, Matt	exeter-city	Exeter City	M
19095	gray-reece	10	Gray, Reece	rochdale	Rochdale	M
19535	grimshaw-liam		Grimshaw, Liam	morecambe	Morecambe	D
19687	gough-connor	20	Gough, Connor	bristol-rovers	Bristol Rovers	G
19115	goodall-alan	13	Goodall, Alan	fleetwood-town	Fleetwood Town	D
19126	grant-robert	19	Grant, Robert	fleetwood-town	Fleetwood Town	M
19155	gomis-bedsente	29	Gomis, Bedsente	southend-united	Southend United 	D
19188	gray-david	26	Gray, David	burton-albion	Burton Albion	D
19292	gracco-gianluca	24	Gracco, Gianluca	dagenham-redbridge	Dagenham & Redbridge	F
19737	gornell-terry	10	Gornell, Terry	cheltenham-town	Cheltenham Town	F
19474	gray-james	17	Gray, James	accrington-stanley	Accrington Stanley	D
19700	green-jake	21	Green, Jake	bristol-rovers	Bristol Rovers	M
19709	gillespie-steven	23	Gillespie, Steven	cheltenham-town	Cheltenham Town	F
19710	gow-alan	10	Gow, Alan	exeter-city	Exeter City	F
19274	gayle-ian	22	Gayle, Ian	dagenham-redbridge	Dagenham & Redbridge	D
19316	gurrieri-andres	27	Gurrieri, Andres	plymouth-argyle	Plymouth Argyle	M
19339	gregory-jason		Gregory, Jason	mansfield-town	Mansfield Town	D
19381	grimes-ashley	10	Grimes, Ashley	bury	Bury	M
19025	gardner-danny	26	Gardner, Danny	chesterfield	Chesterfield	M
19039	gnanduillet-armand	21	Gnanduillet, Armand	chesterfield	Chesterfield	F
19096	hery-bastien	14	Hery, Bastien	rochdale	Rochdale	M
19178	harris-neil		Harris, Neil	southend-united	Southend United 	F
19106	henderson-ian	40	Henderson, Ian	rochdale	Rochdale	F
19196	harness-marcus	27	Harness, Marcus	burton-albion	Burton Albion	M
19203	hemmings-ashley	12	Hemmings, Ashley	burton-albion	Burton Albion	F
19116	hogan-liam	14	Hogan, Liam	fleetwood-town	Fleetwood Town	D
19224	hayhurst-william	26	Hayhurst, William	york-city	York City	M
19463	howe-rene	9	Howe, Rene	burton-albion	Burton Albion	F
19238	henly-jonathan	23	Henly, Jonathan	oxford-united	Oxford United	G
19270	hogan-david	27	Hogan, David	dagenham-redbridge	Dagenham & Redbridge	G
19285	hines-zavon	41	Hines, Zavon	dagenham-redbridge	Dagenham & Redbridge	M
19301	hannah-andrew	31	Hannah, Andrew	plymouth-argyle	Plymouth Argyle	G
19325	harvey-tyler	18	Harvey, Tyler	plymouth-argyle	Plymouth Argyle	F
19351	hawkins-jack		Hawkins, Jack	mansfield-town	Mansfield Town	M
19368	hinds-richard	4	Hinds, Richard	bury	Bury	D
19369	holden-euan	11	Holden, Euan	bury	Bury	D
19358	hutchinson-ben	18	Hutchinson, Ben	mansfield-town	Mansfield Town	F
19382	howell-dean	3	Howell, Dean	fleetwood-town	Fleetwood Town	M
19117	hughes-jeff	11	Hughes, Jeff	fleetwood-town	Fleetwood Town	D
19059	hornsey-luke	22	Hornsey, Luke	scunthorpe-united	Scunthorpe United	M
19060	hughes-mark		Hughes, Mark	scunthorpe-united	Scunthorpe United	M
19142	hume-iain	36	Hume, Iain	fleetwood-town	Fleetwood Town	F
19422	hollands-danny	29	Hollands, Danny	portsmouth	Portsmouth	M
19431	holmes-ricky	11	Holmes, Ricky	portsmouth	Portsmouth	F
19118	hughes-matty	22	Hughes, Matty	fleetwood-town	Fleetwood Town	D
19181	hall-freddy	30	Hall, Freddy	burton-albion	Burton Albion	G
19443	hughes-andrew	3	Hughes, Andrew	newport-county	Newport County	D
19083	hogan-scott	11	Hogan, Scott	rochdale	Rochdale	D
19189	holness-marcus	21	Holness, Marcus	burton-albion	Burton Albion	D
19475	hunt-nicky	16	Hunt, Nicky	accrington-stanley	Accrington Stanley	D
19248	hunt-david	13	Hunt, David	oxford-united	Oxford United	M
19482	hatfield-will	10	Hatfield, Will	accrington-stanley	Accrington Stanley	M
19483	hazeldine-max	33	Hazeldine, Max	accrington-stanley	Accrington Stanley	M
19498	hamon-james	33	Hamon, James	exeter-city	Exeter City	G
19170	hurst-kevan	14	Hurst, Kevan	southend-united	Southend United 	M
19396	healy-david		Healy, David	bury	Bury	F
19536	hughes-mark_2	5	Hughes, Mark	morecambe	Morecambe	D
19018	hird-sam	4	Hird, Sam	chesterfield	Chesterfield	D
19564	holden-darren	22	Holden, Darren	hartlepool-united	Hartlepool United	D
19284	hacker-luke	33	Hacker, Luke	northampton-town	Northampton Town	M
19026	humphreys-ritchie	15	Humphreys, Ritchie	chesterfield	Chesterfield	M
19572	harrison-scott	28	Harrison, Scott	bury	Bury	M
19573	hawkins-lewis	28	Hawkins, Lewis	hartlepool-united	Hartlepool United	M
19583	harewood-marlon	9	Harewood, Marlon	hartlepool-united	Hartlepool United	F
19275	howell-luke	17	Howell, Luke	dagenham-redbridge	Dagenham & Redbridge	D
19276	hoyte-gavin	18	Hoyte, Gavin	dagenham-redbridge	Dagenham & Redbridge	D
18209	hope-hallam		Hope, Hallam	bury	Bury	M
19605	herbel-ryan		Herbel, Ryan	afc-wimbledon	AFC Wimbledon	M
19190	hussey-chris	11	Hussey, Chris	bury	Bury	D
19622	heath-ben	31	Heath, Ben	northampton-town	Northampton Town	G
19616	hylton-daniel	24	Hylton, Daniel	bury	Bury	F
19630	horwood-evan	25	Horwood, Evan	northampton-town	Northampton Town	D
19640	hackett-chris	11	Hackett, Chris	northampton-town	Northampton Town	M
19641	hornby-lewis	15	Hornby, Lewis	northampton-town	Northampton Town	M
19317	harper-penman-jed		Harper-Penman, Jed	plymouth-argyle	Plymouth Argyle	M
19318	hourihane-conor	6	Hourihane, Conor	plymouth-argyle	Plymouth Argyle	M
19652	harrison-lee	41	Harrison, Lee	wycombe-wanderers	Wycombe Wanderers	G
19666	hall-paris-cowan	12	Hall, Paris	wycombe-wanderers	Wycombe Wanderers	M
19340	howell-anthony	13	Howell, Anthony	mansfield-town	Mansfield Town	D
19049	howe-callum	20	Howe, Callum	scunthorpe-united	Scunthorpe United	D
19701	hunter-shaquille	31	Hunter, Shaquille	bristol-rovers	Bristol Rovers	M
19711	harding-mitch	18	Harding, Mitch	bristol-rovers	Bristol Rovers	F
19712	harrison-ellis	17	Harrison, Ellis	bristol-rovers	Bristol Rovers	F
19713	harrold-matt	9	Harrold, Matt	bristol-rovers	Bristol Rovers	F
19653	horlock-charlie	13	Horlock, Charlie	wycombe-wanderers	Wycombe Wanderers	G
19728	hanks-joe	17	Hanks, Joe	cheltenham-town	Cheltenham Town	M
19729	harrison-byron	9	Harrison, Byron	cheltenham-town	Cheltenham Town	M
19048	hawkridge-terry	14	Hawkridge, Terry	scunthorpe-united	Scunthorpe United	D
19071	hayes-paul	19	Hayes, Paul	plymouth-argyle	Plymouth Argyle	F
19723	ihiekwe-michael	28	Ihiekwe, Michael	cheltenham-town	Cheltenham Town	D
19668	ighorae-emmanuel	37	Ighorae, Emmanuel	wycombe-wanderers	Wycombe Wanderers	M
19277	ilesanmi-oluwafemi	3	Ilesanmi, Oluwafemi	dagenham-redbridge	Dagenham & Redbridge	D
19197	ismail-zeli	19	Ismail, Zeli	burton-albion	Burton Albion	M
19654	ingram-matt	1	Ingram, Matt	wycombe-wanderers	Wycombe Wanderers	G
18217	inniss-ryan	15	Inniss, Ryan	cheltenham-town	Cheltenham Town	D
19209	ingham-michael	24	Ingham, Michael	york-city	York City	G
19464	jeffers-sean	14	Jeffers, Sean	newport-county	Newport County	F
19565	jones-dan	20	Jones, Dan	hartlepool-united	Hartlepool United	D
19724	jombarti-sido	20	Jombarti, Sido	cheltenham-town	Cheltenham Town	D
19669	jeffrey-anthony	15	Jeffrey, Anthony	wycombe-wanderers	Wycombe Wanderers	M
19484	jenkins-james	29	Jenkins, James	accrington-stanley	Accrington Stanley	M
19234	jarvis-ryan	11	Jarvis, Ryan	york-city	York City	F
19574	james-luke	33	James, Luke	hartlepool-united	Hartlepool United	M
19660	johnson-leon	6	Johnson, Leon	wycombe-wanderers	Wycombe Wanderers	D
19520	jay-matt	27	Jay, Matt	exeter-city	Exeter City	F
19592	jones-darren	28	Jones, Darren	afc-wimbledon	AFC Wimbledon	D
19445	james-tony	5	James, Tony	newport-county	Newport County	D
19341	jennings-james	16	Jennings, James	mansfield-town	Mansfield Town	D
19606	jacquart-chace	25	Jacquart, Chace	afc-wimbledon	AFC Wimbledon	M
19119	jordan-stephen	25	Jordan, Stephen	fleetwood-town	Fleetwood Town	D
19485	joyce-luke	4	Joyce, Luke	accrington-stanley	Accrington Stanley	M
19364	jensen-brian	21	Jensen, Brian	bury	Bury	G
19127	johnson-damien	20	Johnson, Damien	fleetwood-town	Fleetwood Town	M
19432	jervis-jake	32	Jervis, Jake	portsmouth	Portsmouth	F
19444	jackson-ryan_2	18	Jackson, Ryan	newport-county	Newport County	D
19455	jolley-christian	23	Jolley, Christian	newport-county	Newport County	M
19383	jones-craig	7	Jones, Craig	bury	Bury	M
19035	kearns-daniel	29	Kearns, Daniel	chesterfield	Chesterfield	F
19097	kelly-reece		Kelly, Reece	rochdale	Rochdale	M
19098	kennedy-jason	8	Kennedy, Jason	rochdale	Rochdale	M
19128	kinsella-gerard		Kinsella, Gerard	fleetwood-town	Fleetwood Town	M
19204	kee-billy	29	Kee, Billy	burton-albion	Burton Albion	F
19205	knowles-dominic	18	Knowles, Dominic	burton-albion	Burton Albion	F
19264	kitson-dave	8	Kitson, Dave	oxford-united	Oxford United	F
15619	knott-billy	28	Knott, Billy	wycombe-wanderers	Wycombe Wanderers	M
