Name	Team	Pos	SH	SG	G	A	OF	SV
Burgess, Christian	Hartlepool United	D	17	4	0	0	3	0
Barmby, Jack	Hartlepool United	M	22	14	5	4	0	0
Bayes, Ashley	AFC Wimbledon	G	0	0	0	0	0	0
Brown, Sebastien	AFC Wimbledon	G	0	0	0	0	0	2
Bennett, Alan	AFC Wimbledon	D	15	5	1	1	3	0
Bradley, Sonny	Portsmouth	M	22	7	2	1	0	0
Blake, Darcy	Newport County	D	0	0	0	0	0	0
Beere, Tom	AFC Wimbledon	F	0	0	0	0	0	0
Bloomfield, Matt	Wycombe Wanderers	M	12	4	0	3	1	0
Broghammer, Fabian	Bristol Rovers	D	3	1	0	0	0	0
Brown, Lee	Bristol Rovers	D	27	12	2	6	6	0
Beardsley, Chris	Bristol Rovers	M	19	6	1	1	19	0
Brunt, Ryan	Bristol Rovers	F	14	3	0	0	2	0
Brown, Scott	Cheltenham Town	G	0	0	0	1	0	45
Bowen, James	Cheltenham Town	D	0	0	0	0	0	0
Braham-Barrett, Craig	Cheltenham Town	D	6	2	0	1	1	0
Brown, Troy	Cheltenham Town	D	12	5	4	1	3	0
Bettinelli, Marcus	Accrington Stanley	G	0	0	0	0	0	46
Bull, Nikki	Wycombe Wanderers	G	0	0	0	0	0	0
Barrington, Josh	Chesterfield	G	0	0	0	0	0	0
Banks, Oliver	Chesterfield	M	36	17	7	0	5	0
Broadhead, Jack	Chesterfield	M	0	0	0	0	0	0
Beesley, Jake	Chesterfield	F	0	0	0	0	0	0
Burgess, Scott	Bury	M	0	0	0	0	0	0
Burdett, Noel	Scunthorpe United	M	0	0	0	0	0	0
Burton, Deon	Scunthorpe United	F	27	13	6	2	11	0
Bennett, Rhys	Rochdale	D	8	2	0	2	0	0
Barry-Murphy, Brian	Rochdale	M	0	0	0	0	1	0
Craddock, Tom	Portsmouth	F	5	2	1	0	2	0
Coker, Ben	Southend United 	D	23	10	2	4	3	0
Canavan, Niall	Scunthorpe United	D	20	13	4	0	0	0
Coughlan, Graham	Southend United 	D	0	0	0	0	0	0
Cane, Jacob	Exeter City	M	0	0	0	0	0	0
Chorley, Ben	Portsmouth	D	0	0	0	1	0	0
Cavanagh, Peter	Rochdale	D	3	1	1	0	0	0
Collins, Michael	AFC Wimbledon	M	8	4	0	0	1	0
Collins, Sam	Hartlepool United	D	4	0	0	0	2	0
Carr, Daniel	Fleetwood Town	F	3	3	1	0	2	0
Cartright, Max	Fleetwood Town	F	0	0	0	0	0	0
Clarke, Ollie	Bristol Rovers	M	40	7	1	0	0	0
Clarkson, David	Bristol Rovers	F	47	22	6	0	5	0
Camps, Callum	Rochdale	M	0	0	0	0	0	0
Carter, Darren	Northampton Town	M	41	19	5	1	1	0
Chamberlain, Tom	York City	D	0	0	0	0	0	0
Carson, Josh	York City	M	47	22	4	3	4	0
Cole, Jake	Plymouth Argyle	G	1	1	0	1	0	39
Coulthirst, Shaquile	Torquay United	F	9	3	2	1	3	0
Connors, Jack	Dagenham & Redbridge	G	0	0	0	1	0	0
Chambers, Luke	Southend United 	D	0	0	0	0	0	0
Cain, Michael	Mansfield Town	G	0	0	0	0	0	0
Collis, Steven	Rochdale	G	0	0	0	0	0	0
Close, Ben	Portsmouth	M	0	0	0	0	0	0
Clements, Chris	Mansfield Town	M	20	5	1	5	1	0
Clucas, Samuel	Mansfield Town	M	88	39	8	2	27	1
Cureton, Jamie	Cheltenham Town	F	50	27	11	0	34	0
Coulson, Michael	York City	F	58	26	7	4	18	0
Clifford, Conor	Southend United 	M	23	3	1	0	0	0
Charles-Cook, Reice	Bury	G	0	0	0	0	0	3
Cameron, Nathan	Bury	D	17	7	4	0	1	0
Corr, Barry	Southend United 	F	78	32	12	5	52	0
Crossley, Mark	Chesterfield	G	0	0	0	0	0	0
Carole, Sebastien	Bury	M	0	0	0	0	0	0
Chippendale, Aiden	Bury	M	0	0	0	0	0	0
Clarke, Ryan	Oxford United	G	0	0	0	1	0	53
Crocombe, Max	Oxford United	G	0	0	0	0	0	0
Cristian, Cristian	Northampton Town	F	1	0	0	0	0	0
Cansdell-Sherriff, Shane	Burton Albion	D	13	6	0	0	0	0
Compton, Jack	Hartlepool United	M	34	13	4	2	7	1
Cresswell, Ryan	Fleetwood Town	D	23	4	2	0	4	0
Collins, Lee	Northampton Town	D	3	3	1	1	0	0
Craig, Steven	Wycombe Wanderers	F	17	9	4	1	11	0
Connell, Alan	Northampton Town	F	16	7	0	0	2	0
Coles, Danny	Exeter City	D	5	3	1	2	0	0
Carson, Trevor	Bury	G	0	0	0	0	0	73
Chapman, Adam	Newport County	M	34	7	2	2	0	0
Cooper, Liam	Chesterfield	D	15	8	3	0	1	0
Crow, Danny	Newport County	F	7	6	3	0	9	0
Clucas, Seanan	Bristol Rovers	M	9	2	0	0	0	0
Copp, Jordan	Plymouth Argyle	M	0	0	0	0	0	0
Clark, Luke	Accrington Stanley	D	0	0	0	0	0	0
Connolly, David	Oxford United		32	17	8	3	13	1
Cummins, Graham	Rochdale	F	35	12	4	1	14	0
Constable, James	Oxford United	F	74	28	10	1	39	0
Drennan, Michael	Portsmouth	M	13	6	3	0	6	0
Dawber, Andrew	Accrington Stanley	G	0	0	0	0	0	7
Deering, Sam	Cheltenham Town	M	33	13	0	2	5	0
Doyle, Eoin	Chesterfield	F	61	31	11	4	57	0
Dudley, Anthony	Bury	F	0	0	0	0	0	0
Dickinson, Chris	York City	F	0	0	0	0	0	0
Dale, Bobbie	Cheltenham Town	F	0	0	0	0	1	0
Daniels, Billy	Cheltenham Town	F	4	0	0	0	0	0
Donnelly, George	Rochdale	F	52	17	5	4	12	0
Davies, Arron	Exeter City	M	32	12	2	4	2	0
Dawson, Aaron	Exeter City	M	1	0	0	0	0	0
Doherty, Tommy	Exeter City	M	4	1	0	0	0	0
Dunbavin, Ian	Accrington Stanley	G	0	0	0	0	0	0
Davis, Cain	Dagenham & Redbridge	G	0	0	0	0	0	0
Darwikwa, Tendayi	Chesterfield	M	23	13	3	1	4	0
Devitt, Jamie	Morecambe	M	23	7	2	4	2	0
Drummond, Stuart	Morecambe	M	17	3	0	1	1	0
D'Ath, Lawson	Dagenham & Redbridge	M	13	3	1	1	0	0
Diagne, Tony	Morecambe	D	23	7	1	0	0	0
Doherty, Gary	Wycombe Wanderers	D	9	3	0	0	0	0
Dickson, Chris	Dagenham & Redbridge	F	22	10	1	0	14	0
Doyle, Chris	Morecambe	D	1	1	0	0	0	0
Doe, Scott	Dagenham & Redbridge	F	8	1	1	0	0	0
Dyer, Jack	Burton Albion	D	0	0	0	0	0	0
Dunleavy, Daniel	Morecambe	M	0	0	0	0	0	0
Duke, Matt	Northampton Town	G	0	0	0	0	0	48
Dawson, Andy	Scunthorpe United	D	6	2	0	3	0	0
Dawson, Cameron	Plymouth Argyle	G	0	0	0	0	0	0
Davies, Scott	Oxford United	M	5	1	0	0	0	0
Duckworth, Michael	Hartlepool United	M	6	4	0	2	1	0
Dyer, Ross	Mansfield Town	F	5	3	2	0	5	0
Djeziri, Adda	Scunthorpe United	F	0	0	0	0	0	0
Deakin, Ian	Mansfield Town	G	0	0	0	0	0	0
Dunne, Charles	Wycombe Wanderers	D	9	2	0	0	0	0
Dempster, John	Mansfield Town	D	15	2	0	1	3	0
Dickenson, Ben	AFC Wimbledon	F	0	0	0	0	0	0
Done, Matt	Rochdale	M	14	7	0	5	6	0
Daniel, Colin	Mansfield Town	M	24	12	2	1	3	0
Davies, Scott	Fleetwood Town	M	0	0	0	1	0	17
Diamond, Alexander	Burton Albion	D	8	2	2	1	1	0
Dickenson, Brennan	Northampton Town	D	14	4	1	0	0	0
Deegan, Gary	Northampton Town	M	15	5	1	0	1	0
Dias, Claudio	Northampton Town	M	0	0	0	0	0	0
Dieseruvwe, Emmanuel	Fleetwood Town	F	0	0	0	0	1	0
Davies, Ben	York City	D	2	1	0	2	0	0
Devera, Joe	Portsmouth	D	13	3	0	0	0	0
Doumbe, Mathias	Northampton Town	D	16	5	3	1	0	0
Delap, Rory	Burton Albion	M	3	1	1	0	0	0
Edwards, Matthew	Rochdale	G	0	0	0	0	0	0
Edwards, Jack	Southend United 	M	0	0	0	0	0	0
Eastwood, Freddy	Southend United 	F	34	14	6	1	22	0
Egan, John	Southend United 	F	10	5	1	0	0	0
Eastham, Ashley	Rochdale	D	3	1	0	3	0	0
Evatt, Ian	Chesterfield	D	14	5	1	1	5	0
Ehui, Georges	Wycombe Wanderers	M	0	0	0	0	0	0
Edwards, Ryan	Chesterfield	D	7	1	0	0	0	0
Ellison, Kevin	Morecambe	M	79	36	10	0	26	0
East, Danny	Portsmouth	D	4	1	1	0	0	0
Ertl, Johannes	Portsmouth	D	5	1	0	0	0	0
Esajas, Etienne	Scunthorpe United	M	21	7	2	0	2	0
Evans, Gareth	Fleetwood Town	F	41	22	6	1	4	0
Edgar, Anthony	Dagenham & Redbridge	M	0	0	0	0	0	0
Elito, Medy	Dagenham & Redbridge	M	52	20	7	3	9	0
Elliott, Steve	Cheltenham Town	D	15	6	1	0	0	0
Edwards, Phil	Burton Albion	D	20	5	2	1	1	0
Edwards, Rob	Exeter City	D	0	0	0	0	0	0
Forrester, Anton	Bury	F	34	17	6	2	22	0
Futcher, Ben	Bury	D	0	0	0	0	0	0
Fogden, Wes	Portsmouth	M	14	7	2	0	1	0
Fletcher, Wes	York City	F	43	24	10	1	9	1
Fell, Jordan	Mansfield Town	G	0	0	0	0	0	0
Fortune, Jonathan	Dagenham & Redbridge	D	0	0	0	0	0	0
Fuller, Barry	AFC Wimbledon	M	9	1	0	2	3	0
Fleming, Andrew	Morecambe	M	45	15	2	4	3	0
Flynn, Michael	Newport County	M	28	10	3	2	1	0
Franks, Jonathan	Hartlepool United	M	45	16	5	0	9	0
Fenlon, Jim	AFC Wimbledon	D	9	4	0	0	3	0
Francomb, George	AFC Wimbledon	D	39	10	3	2	2	0
Fayers, Charlie	AFC Wimbledon	M	0	0	0	0	0	0
Frampton, Andy	AFC Wimbledon	M	16	7	4	1	0	0
Fontaine, Jean-Michel	Fleetwood Town	F	0	0	0	0	0	0
Foster, Danny	Wycombe Wanderers	D	0	0	0	0	0	0
Ferry, Simon	Portsmouth	M	2	1	1	0	0	0
Feely, Kevin	AFC Wimbledon	D	6	2	1	0	0	0
Fielding, Kristian	Newport County	M	0	0	0	0	0	0
Flinders, Scott	Hartlepool United	G	0	0	0	1	0	65
Foden, Mark	Hartlepool United	G	0	0	0	0	0	0
Gibbons, Robbie	Scunthorpe United	M	0	0	0	0	0	0
Gill, Matthew	Bristol Rovers	D	1	0	0	0	1	0
Godden, Matt	Scunthorpe United	F	1	1	0	0	0	0
Gosling, Jake	Exeter City	M	2	1	0	0	0	0
Grimes, Matt	Exeter City	M	42	14	1	2	2	0
Gray, Reece	Rochdale	M	0	0	0	0	0	0
Grimshaw, Liam	Morecambe	D	0	0	0	0	0	0
Gough, Connor	Bristol Rovers	G	0	0	0	0	0	0
Goodall, Alan	Fleetwood Town	D	3	2	0	1	0	0
Grant, Robert	Fleetwood Town	M	0	0	0	0	0	0
Gomis, Bedsente	Southend United 	D	0	0	0	0	0	0
Gray, David	Burton Albion	D	2	0	0	0	1	0
Gracco, Gianluca	Dagenham & Redbridge	F	0	0	0	0	0	0
Gornell, Terry	Cheltenham Town	F	48	24	3	0	20	0
Gray, James	Accrington Stanley	D	40	24	7	2	25	0
Green, Jake	Bristol Rovers	M	0	0	0	0	0	0
Gillespie, Steven	Cheltenham Town	F	12	4	1	0	6	0
Gow, Alan	Exeter City	F	61	20	7	3	13	1
Gayle, Ian	Dagenham & Redbridge	D	0	0	0	0	0	0
Gurrieri, Andres	Plymouth Argyle	M	27	8	1	2	1	0
Gregory, Jason	Mansfield Town	D	0	0	0	0	0	0
Grimes, Ashley	Bury	M	8	4	0	1	0	0
Gardner, Danny	Chesterfield	M	12	5	3	3	1	0
Gnanduillet, Armand	Chesterfield	F	54	23	5	4	18	0
Hery, Bastien	Rochdale	M	3	2	1	0	0	0
Harris, Neil	Southend United 	F	0	0	0	0	0	0
Henderson, Ian	Rochdale	F	62	21	11	3	29	0
Harness, Marcus	Burton Albion	M	1	1	0	0	0	0
Hemmings, Ashley	Burton Albion	F	1	0	0	0	3	0
Hogan, Liam	Fleetwood Town	D	5	2	0	0	1	0
Hayhurst, William	York City	M	15	8	2	2	5	0
Howe, Rene	Burton Albion	F	26	13	4	2	16	0
Henly, Jonathan	Oxford United	G	0	0	0	0	0	0
Hogan, David	Dagenham & Redbridge	G	0	0	0	0	0	0
Hines, Zavon	Dagenham & Redbridge	M	49	20	6	5	7	0
Hannah, Andrew	Plymouth Argyle	G	0	0	0	0	0	0
Harvey, Tyler	Plymouth Argyle	F	10	6	1	1	2	0
Hawkins, Jack	Mansfield Town	M	0	0	0	0	0	0
Hinds, Richard	Bury	D	2	2	1	0	0	0
Holden, Euan	Bury	D	1	0	0	0	0	0
Hutchinson, Ben	Mansfield Town	F	13	5	2	3	0	0
Howell, Dean	Fleetwood Town	M	1	1	0	0	0	0
Hughes, Jeff	Fleetwood Town	D	41	12	3	2	5	0
Hornsey, Luke	Scunthorpe United	M	0	0	0	0	0	0
Hughes, Mark	Scunthorpe United	M	0	0	0	0	0	0
Hume, Iain	Fleetwood Town	F	7	7	1	1	8	0
Hollands, Danny	Portsmouth	M	12	7	6	0	1	0
Holmes, Ricky	Portsmouth	F	41	17	2	10	9	0
Hughes, Matty	Fleetwood Town	D	3	2	0	0	0	0
Hall, Freddy	Burton Albion	G	0	0	0	0	0	0
Hughes, Andrew	Newport County	D	10	5	2	0	0	0
Hogan, Scott	Rochdale	D	54	34	17	0	16	0
Holness, Marcus	Burton Albion	D	4	1	0	0	0	0
Hunt, Nicky	Accrington Stanley	D	8	1	0	2	0	0
Hunt, David	Oxford United	M	13	2	0	2	1	0
Hatfield, Will	Accrington Stanley	M	19	9	0	0	1	0
Hazeldine, Max	Accrington Stanley	M	0	0	0	0	0	0
Hamon, James	Exeter City	G	0	0	0	0	0	0
Hurst, Kevan	Southend United 	M	71	32	11	15	13	0
Healy, David	Bury	F	0	0	0	0	0	0
Hughes, Mark	Morecambe	D	24	11	5	1	4	0
Hird, Sam	Chesterfield	D	10	6	2	1	1	0
Holden, Darren	Hartlepool United	D	4	1	0	1	1	0
Hacker, Luke	Northampton Town	M	72	30	8	2	21	0
Humphreys, Ritchie	Chesterfield	M	12	2	2	5	0	0
Harrison, Scott	Bury	M	1	0	0	0	0	0
Hawkins, Lewis	Hartlepool United	M	0	0	0	0	0	0
Harewood, Marlon	Hartlepool United	F	15	7	3	0	12	1
Howell, Luke	Dagenham & Redbridge	D	27	11	4	2	4	0
Hoyte, Gavin	Dagenham & Redbridge	D	4	1	0	2	0	0
Hope, Hallam	Bury	M	20	9	6	1	7	0
Herbel, Ryan	AFC Wimbledon	M	0	0	0	0	0	0
Hussey, Chris	Bury	D	40	20	3	4	13	0
Heath, Ben	Northampton Town	G	0	0	0	0	0	0
Hylton, Daniel	Bury	F	44	22	5	1	22	0
Horwood, Evan	Northampton Town	D	2	1	0	1	0	0
Hackett, Chris	Northampton Town	M	35	10	2	3	15	0
Hornby, Lewis	Northampton Town	M	0	0	0	0	0	0
Harper-Penman, Jed	Plymouth Argyle	M	0	0	0	0	0	0
Hourihane, Conor	Plymouth Argyle	M	79	29	8	3	3	0
Harrison, Lee	Wycombe Wanderers	G	0	0	0	0	0	0
Hall, Paris	Wycombe Wanderers	M	19	12	4	0	12	0
Howell, Anthony	Mansfield Town	D	12	6	3	0	1	0
Howe, Callum	Scunthorpe United	D	0	0	0	0	0	0
Hunter, Shaquille	Bristol Rovers	M	0	0	0	0	0	0
Harding, Mitch	Bristol Rovers	F	2	0	0	0	0	0
Harrison, Ellis	Bristol Rovers	F	19	5	1	2	4	0
Harrold, Matt	Bristol Rovers	F	30	11	5	0	11	1
Horlock, Charlie	Wycombe Wanderers	G	0	0	0	0	0	0
Hanks, Joe	Cheltenham Town	M	1	0	0	1	1	0
Harrison, Byron	Cheltenham Town	M	60	28	13	5	28	0
Hawkridge, Terry	Scunthorpe United	D	31	12	1	8	3	0
Hayes, Paul	Plymouth Argyle	F	19	12	4	1	6	1
Ihiekwe, Michael	Cheltenham Town	D	2	0	0	0	0	0
Ighorae, Emmanuel	Wycombe Wanderers	M	0	0	0	0	0	0
Ilesanmi, Oluwafemi	Dagenham & Redbridge	D	4	0	0	0	0	0
Ismail, Zeli	Burton Albion	M	15	6	3	2	2	0
Ingram, Matt	Wycombe Wanderers	G	1	1	0	1	0	37
Inniss, Ryan	Cheltenham Town	D	0	0	0	0	0	0
Ingham, Michael	York City	G	0	0	0	1	0	10
Jeffers, Sean	Newport County	F	6	3	0	0	2	0
Jones, Dan	Hartlepool United	D	0	0	0	0	0	0
Jombarti, Sido	Cheltenham Town	D	8	5	1	1	1	0
Jeffrey, Anthony	Wycombe Wanderers	M	3	1	0	0	0	0
Jenkins, James	Accrington Stanley	M	0	0	0	0	0	0
Jarvis, Ryan	York City	F	35	17	8	2	10	0
James, Luke	Hartlepool United	M	59	26	11	3	11	0
Johnson, Leon	Wycombe Wanderers	D	3	1	1	0	1	0
Jay, Matt	Exeter City	F	1	1	0	0	0	0
Jones, Darren	AFC Wimbledon	D	7	2	1	0	0	0
James, Tony	Newport County	D	0	0	0	0	0	0
Jennings, James	Mansfield Town	D	25	10	4	4	1	0
Jacquart, Chace	AFC Wimbledon	M	0	0	0	0	0	0
Jordan, Stephen	Fleetwood Town	D	0	0	0	1	0	0
Joyce, Luke	Accrington Stanley	M	18	5	1	1	1	0
Jensen, Brian	Bury	G	0	0	0	0	0	47
Johnson, Damien	Fleetwood Town	M	0	0	0	0	0	0
Jervis, Jake	Portsmouth	F	17	8	4	0	11	0
Jackson, Ryan	Newport County	D	8	1	0	4	1	0
Jolley, Christian	Newport County	M	30	10	2	1	14	0
Jones, Craig	Bury	M	13	5	1	6	5	0
Kearns, Daniel	Chesterfield	F	6	2	0	1	2	0
Kelly, Reece	Rochdale	M	0	0	0	0	0	0
Kennedy, Jason	Rochdale	M	2	1	0	0	0	0
Kinsella, Gerard	Fleetwood Town	M	0	0	0	0	0	0
Kee, Billy	Burton Albion	F	92	44	12	3	13	1
Knowles, Dominic	Burton Albion	F	21	7	3	0	5	0
Kitson, Dave	Oxford United	F	32	15	4	3	18	0
Knott, Billy	Wycombe Wanderers	M	21	10	2	1	0	0
Kenyon, Alex	Morecambe	M	25	8	0	0	1	0
Keohane, Jimmy	Exeter City	M	29	15	3	0	3	0
Kennedy, Callum	AFC Wimbledon	D	6	1	0	3	1	0
Kewley-Graham, Jesse	Wycombe Wanderers	M	0	0	0	0	0	0
Kuffour, Jo	Wycombe Wanderers	F	8	5	3	1	5	0
Keary, Pat	Bristol Rovers	D	1	0	0	0	0	0
Kotwica, Zack	Cheltenham Town	F	3	1	0	0	1	0
Kretzschmar, Max	Wycombe Wanderers	M	35	17	6	4	2	0
Krysiak, Artur	Exeter City	G	0	0	0	0	0	56
Keegan, Jordan	Scunthorpe United	F	0	0	0	0	0	0
Lillis, Josh	Rochdale	G	0	0	0	1	0	48
Lancashire, Oliver	Rochdale	D	15	4	0	0	0	0
Logan, Richard	Wycombe Wanderers	F	0	0	0	0	0	0
Lynch, Craig	Rochdale	F	2	1	0	0	1	0
Lucas, David	Fleetwood Town	G	0	0	0	0	0	0
Lynn, David	Oxford United	D	0	0	0	0	0	0
Long, Sam	Oxford United	M	1	1	0	0	0	0
Lyness, Dean	Burton Albion	G	0	0	0	0	0	29
Leonard, Ryan	Southend United 	D	58	24	5	1	0	0
Lucas, Lee	Cheltenham Town	M	0	0	0	0	0	0
Laird, Marc	Southend United 	M	6	0	0	1	0	0
Lucas, Jamie	Bristol Rovers	F	0	0	0	0	0	0
Lund, Matthew	Rochdale	M	69	28	8	3	1	0
Lainton, Robert	Bury	G	0	0	0	0	0	12
Langmead, Kelvin	Northampton Town	F	2	2	0	0	1	0
Lewis, Stuart	Wycombe Wanderers	M	23	10	3	1	0	0
Lee, Kenzer	Oxford United	D	0	0	0	0	0	0
Liddle, Michael	Accrington Stanley	D	3	0	0	0	0	0
Leven, Peter	Oxford United	M	0	0	0	0	0	0
Lockyer, Tom	Bristol Rovers	M	12	8	1	0	0	0
Lewington, Chris	Dagenham & Redbridge	G	0	0	0	1	0	66
Lecointe, Matt	Plymouth Argyle	F	0	0	0	0	0	0
Lane, Ryan	Plymouth Argyle	M	0	0	0	0	0	0
Lee, Tommy	Chesterfield	G	0	0	0	0	0	51
Lowe, Keith	Cheltenham Town	D	17	7	2	1	2	0
Mwasile, Joe	Morecambe	M	7	3	0	0	0	0
Martin, Oliver	Fleetwood Town	G	0	0	0	0	0	0
Maxwell, Chris	Fleetwood Town	G	0	0	0	0	0	27
Mawene, Youl	Fleetwood Town	D	0	0	0	0	0	0
Marrow, Alex	Fleetwood Town	M	4	3	1	1	0	0
McKenna, Paul	Fleetwood Town	M	0	0	0	0	0	0
McLaughlin, Conor	Fleetwood Town	D	12	4	0	3	0	0
McChrystal, Mark	Bristol Rovers	D	8	2	0	0	0	0
MacDonald, Alexander	Burton Albion	D	43	9	0	2	3	0
McCrory, Damien	Burton Albion	M	17	8	1	1	3	0
McFadzean, Callum	Chesterfield	F	6	4	1	1	1	0
McGurk, Adam	Burton Albion	F	94	33	9	2	24	0
Matt, Jamille	Fleetwood Town	F	29	16	8	0	20	0
McCombe, John	Mansfield Town	D	12	6	5	0	1	0
McGurk, David	York City	D	5	3	1	0	1	0
Minshull, Lee	Newport County	M	37	10	4	2	3	0
Mitchell, Liam	Mansfield Town	G	0	0	0	0	0	0
McDonald, Shaquille	York City	F	0	0	0	0	0	0
Mirfin, David	Scunthorpe United	D	19	7	2	0	1	0
Marsh, Tyrone	Oxford United	M	1	1	0	0	1	0
Meades, Jonathan	Oxford United	M	0	0	0	0	0	0
Mingoia, Piero	Accrington Stanley	M	18	9	1	1	3	0
McCormick, Luke	Plymouth Argyle	G	0	0	0	0	0	19
Monkhouse, Andy	Hartlepool United	M	46	18	4	2	12	0
McGlashan, Jermaine	Cheltenham Town	M	52	16	4	3	13	0
Marriott, Alan	Mansfield Town	G	0	0	0	0	0	49
McGuire, Jamie	Mansfield Town	D	24	8	2	1	0	0
Moore-Taylor, Jordan	Exeter City	D	4	1	1	1	0	0
Meikle, Lindon	Mansfield Town	F	9	4	1	0	1	0
Morris, Josh	Fleetwood Town	D	15	3	2	3	1	0
Mills, Pablo	Bury	D	8	3	0	0	0	0
Mandron, Mikael	Fleetwood Town	F	4	2	1	2	1	0
McIntyre, Robbie	Bury	D	0	0	0	0	0	0
Maloney, Jack	Portsmouth	F	0	0	0	0	0	0
Morgan, Marvin	Plymouth Argyle	F	14	8	1	0	17	0
McLoughlin, Ian	Newport County	G	0	0	0	0	0	17
Miller, George	Accrington Stanley	M	1	0	0	0	0	0
McCartan, Shay	Accrington Stanley	F	11	5	1	1	2	0
Murray, Adam	Mansfield Town	M	7	4	1	0	1	0
Murphy, Peter	Accrington Stanley	D	45	19	9	2	6	0
McCready, Chris	Morecambe	D	1	0	0	0	0	0
McGee, Joe	Morecambe	M	5	0	0	0	1	0
McGowan, Aaron	Morecambe	M	0	0	0	0	0	0
Morias, Junior	Wycombe Wanderers	F	2	1	0	0	0	0
Marshall, Marcus	Morecambe	F	4	2	0	0	1	0
Moore, Sammy	AFC Wimbledon	M	30	14	4	2	1	0
Mezague, Valery	Bury	M	0	0	0	0	0	0
Midson, Jack	AFC Wimbledon	F	38	15	7	0	21	0
